Episode,Timestep,Reward
1731,20,-200
1732,20,-140
1733,20,-140
1734,17,5
1735,20,-95
1736,20,-140
1737,20,-155
1738,20,-155
1739,20,-140
1740,20,-140
1741,20,-125
1742,20,-80
1743,20,-185
1744,20,-80
1745,20,-155
1746,20,-140
1747,20,-125
1748,20,-110
1749,20,-170
1750,20,-80
1751,20,-185
1752,20,-155
1753,20,-140
1754,20,-140
1755,20,-125
1756,20,-125
1757,20,-140
1758,20,-95
1759,20,-125
1760,20,-140
1761,20,-125
1762,20,-110
1763,20,-140
1764,20,-140
1765,20,-110
1766,20,-125
1767,20,-80
1768,20,-125
1769,20,-140
1770,14,20
1771,20,-110
1772,20,-125
1773,20,-110
1774,20,-125
1775,20,-95
1776,20,-140
1777,20,-125
1778,20,-140
1779,20,-95
1780,20,-110
1781,20,-125
1782,20,-110
1783,20,-125
1784,20,-155
1785,20,-65
1786,20,-95
1787,20,-65
1788,20,-200
1789,20,-155
1790,20,-125
1791,20,-125
1792,20,-155
1793,20,-95
1794,20,-125
1795,20,-80
1796,20,-125
1797,20,-155
1798,20,-110
1799,20,-95
1800,20,-125
1801,20,-140
1802,20,-110
1803,20,-125
1804,20,-155
1805,20,-155
1806,20,-125
1807,20,-95
1808,20,-155
1809,20,-155
1810,20,-110
1811,20,-110
1812,20,-125
1813,20,-125
1814,20,-95
1815,20,-110
1816,20,-110
1817,20,-155
1818,20,-125
1819,20,-155
1820,20,-140
1821,20,-125
1822,20,-95
1823,20,-110
1824,20,-95
1825,20,-140
1826,20,-80
1827,20,-125
1828,20,-140
1829,20,-80
1830,20,-140
1831,20,-140
1832,20,-125
1833,20,-140
1834,20,-140
1835,20,-65
1836,20,-155
1837,20,-155
1838,20,-95
1839,20,-140
1840,20,-170
1841,20,-155
1842,20,-140
1843,20,-125
1844,20,-140
1845,20,-185
1846,20,-125
1847,20,-155
1848,20,-110
1849,20,-95
1850,20,-155
1851,20,-110
1852,20,-125
1853,20,-80
1854,20,-95
1855,20,-125
1856,20,-185
1857,13,90
1858,20,-110
1859,20,-95
1860,20,-170
1861,20,-110
1862,10,60
1863,20,-155
1864,20,-185
1865,20,-170
1866,20,-140
1867,20,-125
1868,20,-140
